Day,Efficiency
1,-0.0319743216407827
2,-3.29117701284768e-05
3,0.006513931104459
4,0.00648582452322711
5,0.00811612232919239
6,0.0108119889293282
7,0.0113454634327469
8,0.011254297101931
9,0.0119046434722105
10,0.0123240752554078
11,0.012561549536728
12,0.0128018407019095
13,0.0133043854355178
14,0.0133984996844534
15,0.0139737055768583
16,0.013465049842592
17,0.0135228597399191
18,0.0139268222100017
19,0.0150259772822035
20,0.0154109437679231
21,0.0155684288920558
22,0.0156929624461418
23,0.015955790058272
24,0.0159824328608074
25,0.0161125854544104
26,0.0163312663181647
27,0.016039409102047
28,0.0157992045657734
29,0.0158879885840434
30,0.0159510890010037
31,0.0157901653282018
32,0.015624974739734
33,0.0160123758993251
34,0.0166792160319
35,0.0170603967987096
36,0.0168434758010248
37,0.0173696087045596
38,0.0177206588291049
39,0.0175859052114757
40,0.0172653711219952
41,0.0173748247468498
42,0.0173067678890613
43,0.0164738307984582
44,0.016145451980938
45,0.0156302749006165
46,0.0153735768699051
47,0.0153232710692089
48,0.0152778477301085
49,0.0152520173578274
50,0.0151669806586506
51,0.0152533879924031
52,0.015222071825126
53,0.0151085573043663
54,0.0154705971174629
55,0.0158626746464139
56,0.0168160075035981
57,0.016571635059198
58,0.0166964379115068
59,0.0172468730783187
60,0.017282554136929
61,0.0172935401747742
62,0.0172214396605797
63,0.0168892849317507
64,0.0168868970959623
65,0.0164764100512071
66,0.0159899075537603
67,0.0160765375710923
68,0.0153729674731338
69,0.0148317048272693
70,0.0150686940751171
71,0.0145369321691252
72,0.0142339201700619
73,0.0143256543170313
74,0.0147032563659463
75,0.0151097458284616
76,0.0150273227759631
77,0.0152643322899972
78,0.0154853625881261
79,0.0155443592619966
80,0.0156008959574376
81,0.0159617725351662
82,0.0160520145873763
83,0.0159661289852621
84,0.0162665060746848
85,0.0167660225932856
86,0.0174658968817253
87,0.0189221915990413
88,0.0197642552984445
89,0.0218184728072244
90,0.0270234594360025
91,0.0325893941167044
92,0.0394814718474891
93,0.0473571639022734
94,0.0549728226416077
95,0.0628735407478918
96,0.0708394084243055
97,0.0797041959028212
98,0.0856617425830932
99,0.0917907062981559
100,0.0985844721333147
101,0.106950170395134
102,0.119290934306437
103,0.125423497872656
104,0.129026711471777
105,0.13445483431867
106,0.139893007008466
107,0.143047611217862
108,0.14641617454721
109,0.149631219170545
110,0.152492943207351
111,0.15391079184318
112,0.155614325706357
113,0.158430244898684
114,0.160432606758358
115,0.162031881209475
116,0.163883361518782
117,0.165192818627321
118,0.166245356767372
119,0.166962960351614
120,0.168322084893803
121,0.16969875499195
122,0.17117691024881
123,0.172189193828354
124,0.17330142792067
125,0.174070334554909
126,0.174837773361294
127,0.175706753179797
128,0.176512145597586
129,0.176683446875925
130,0.177173908459765
131,0.177238512073566
132,0.178128969341186
133,0.178661309198699
134,0.17846380728228
135,0.179000001247025
136,0.179268443337676
137,0.179691143549393
138,0.180143982125111
139,0.180386833390833
140,0.18085913890567
141,0.181291389314397
142,0.181693390738517
143,0.182317686528244
144,0.18263768743289
145,0.182917306687558
146,0.183143801706218
147,0.183288967843842
148,0.183314920323886
149,0.183322630599581
150,0.183167237920931
151,0.183058355531307
152,0.183363052640662
153,0.183292682274365
154,0.183250783601086
155,0.182866073750269
156,0.183333393236096
157,0.183485858898943
158,0.183485218258517
159,0.18357699963905
160,0.183477664543278
161,0.183474073617515
162,0.183872501329971
163,0.183741467262561
164,0.183756295005237
165,0.18384424633438
166,0.183322045937637
167,0.183339241304998
168,0.183114099520508
169,0.183184902794983
170,0.183127335889783
171,0.182364609187139
172,0.182962167458275
173,0.182853411775489
174,0.183035896754851
175,0.182520359122908
176,0.182639074050513
177,0.182494867067563
178,0.181625214476371
179,0.182344338566943
180,0.181861110747073
181,0.181053031372502
182,0.181577840289589
183,0.181894370302319
184,0.181449150096305
185,0.181039546713262
186,0.181494433628547
187,0.181643578699901
188,0.181241842522539
189,0.180480698140538
190,0.180622198243276
191,0.18056871963694
192,0.181302662852043
193,0.181303960015307
194,0.18152210857305
195,0.181117268214243
196,0.181525946066579
197,0.180822236526666
198,0.180450495533101
199,0.180782899738015
200,0.17995985698235
201,0.179649483398711
202,0.180070163772069
203,0.180002766414775
204,0.179256898817988
205,0.179811948842272
206,0.179209479855811
207,0.17956536565538
208,0.179490888772757
209,0.17955088969022
210,0.179728524247541
211,0.180027790707024
212,0.180208008114571
213,0.179869582228242
214,0.179572664402182
215,0.179173828917044
216,0.179564623251466
217,0.179142480489129
218,0.179821914363279
219,0.179452777498979
220,0.179602799721797
221,0.179068951935593
222,0.179611072141057
223,0.179433614729361
224,0.179068980426464
225,0.178165289635691
226,0.179004798779684
227,0.179107573552075
228,0.179003439496239
229,0.178857388443699
230,0.178985920828016
231,0.178237348750166
232,0.178555355030204
233,0.178238856445532
234,0.178642434163358
235,0.178281250544442
236,0.177817956746734
237,0.177669642338672
238,0.178251018154411
239,0.178683975051119
240,0.17836121175446
241,0.178422848598
242,0.178120598862157
243,0.177181381575123
244,0.177101084901769
245,0.177466184015888
246,0.177136561776925
247,0.177428746988919
248,0.177910498089351
249,0.17755083788578
250,0.178073183035859
251,0.178004386894927
252,0.177978779322223
253,0.177913921234536
254,0.177026998025455
255,0.177291087537705
256,0.176691816031461
257,0.177273526299359
258,0.177499723746367
259,0.177149633716526
260,0.177381358982143
261,0.177339539569503
262,0.176614921066939
263,0.176530285257578
264,0.17649995965532
265,0.17688243621473
266,0.176862458615186
267,0.176953087165378
268,0.177131221860885
269,0.177200665360387
270,0.176746365390141
